"tick","Susceptible Count","Infected Count"
1.0,60,5
2.0,60,5
3.0,60,5
4.0,60,5
5.0,60,5
6.0,60,5
7.0,60,5
8.0,60,5
9.0,60,5
10.0,60,5
11.0,60,5
12.0,60,5
13.0,60,5
14.0,60,5
15.0,60,5
16.0,60,5
17.0,60,5
18.0,60,5
19.0,60,5
20.0,60,5
21.0,60,5
22.0,60,5
23.0,60,5
24.0,60,5
25.0,60,5
26.0,60,5
27.0,60,5
28.0,59,6
29.0,59,6
30.0,58,7
31.0,58,7
32.0,58,7
33.0,58,7
34.0,58,7
35.0,58,7
36.0,58,7
37.0,58,7
38.0,58,7
39.0,58,7
40.0,57,8
41.0,57,8
42.0,57,8
43.0,57,8
44.0,57,8
45.0,57,8
46.0,57,8
47.0,56,9
48.0,56,9
49.0,56,9
50.0,56,9
51.0,56,9
52.0,56,9
53.0,56,9
54.0,56,9
55.0,55,10
56.0,55,10
57.0,55,10
58.0,55,10
59.0,55,10
60.0,55,10
61.0,55,10
62.0,55,10
63.0,55,10
64.0,55,10
65.0,55,10
66.0,55,10
67.0,55,10
68.0,55,10
69.0,55,10
70.0,55,10
71.0,55,10
72.0,55,10
73.0,55,10
74.0,55,10
75.0,55,10
76.0,55,10
77.0,55,10
78.0,54,11
79.0,54,11
80.0,53,12
81.0,53,12
82.0,52,13
83.0,52,13
84.0,52,13
85.0,52,13
86.0,52,13
87.0,52,13
88.0,52,13
89.0,52,13
90.0,52,13
91.0,51,14
92.0,51,14
93.0,51,14
94.0,51,14
95.0,51,14
96.0,51,14
97.0,51,14
98.0,51,14
99.0,51,14
100.0,51,14
101.0,50,15
102.0,50,15
103.0,50,15
104.0,50,15
105.0,49,16
106.0,49,16
107.0,49,16
108.0,49,16
109.0,49,16
110.0,49,16
111.0,49,16
112.0,49,16
113.0,49,16
114.0,49,16
115.0,49,16
116.0,48,17
117.0,48,17
118.0,48,17
119.0,48,17
120.0,48,17
121.0,48,17
122.0,48,17
123.0,48,17
124.0,48,17
125.0,48,17
126.0,48,17
127.0,48,17
128.0,48,17
129.0,48,17
130.0,48,17
131.0,47,18
132.0,47,18
133.0,47,18
134.0,47,18
135.0,47,18
136.0,47,18
137.0,45,20
138.0,45,20
139.0,45,20
140.0,45,20
141.0,45,20
142.0,45,20
143.0,44,21
144.0,44,21
145.0,44,21
146.0,44,21
147.0,43,22
148.0,43,22
149.0,43,22
150.0,43,22
151.0,43,22
152.0,43,22
153.0,42,23
154.0,42,23
155.0,42,23
156.0,42,23
157.0,42,23
158.0,42,23
159.0,42,23
160.0,42,23
161.0,42,23
162.0,42,23
163.0,42,23
164.0,42,23
165.0,42,23
166.0,42,23
167.0,41,24
168.0,41,24
169.0,41,24
170.0,41,24
171.0,41,24
172.0,41,24
173.0,41,24
174.0,41,24
175.0,41,24
176.0,41,24
177.0,41,24
178.0,41,24
179.0,41,24
180.0,41,24
181.0,41,24
182.0,41,24
183.0,40,25
184.0,40,25
185.0,39,26
186.0,39,26
187.0,39,26
188.0,39,26
189.0,39,26
190.0,39,26
191.0,39,26
192.0,39,26
193.0,39,26
194.0,39,26
195.0,39,26
196.0,39,26
197.0,39,26
198.0,37,28
199.0,37,28
200.0,36,29
201.0,36,29
202.0,35,30
203.0,34,31
204.0,34,31
205.0,34,31
206.0,34,31
207.0,34,31
208.0,34,31
209.0,34,31
210.0,33,32
211.0,33,32
212.0,33,32
213.0,33,32
214.0,33,32
215.0,33,32
216.0,33,32
217.0,33,32
218.0,32,33
219.0,32,33
220.0,31,34
221.0,31,34
222.0,31,34
223.0,31,34
224.0,31,34
225.0,31,34
226.0,31,34
227.0,31,34
228.0,31,34
229.0,30,35
230.0,29,36
231.0,29,36
232.0,29,36
233.0,29,36
234.0,29,36
235.0,29,36
236.0,29,36
237.0,29,36
238.0,29,36
239.0,28,37
240.0,28,37
241.0,28,37
242.0,28,37
243.0,28,37
244.0,28,37
245.0,28,37
